Modus	N	P	Laufzeit_ms
ParMergeSort(parMerge)	921600000	1	126924
ParMergeSort(parMerge)	921600000	2	66284
ParMergeSort(parMerge)	921600000	3	44165
ParMergeSort(parMerge)	921600000	4	32931
ParMergeSort(parMerge)	921600000	5	27761
ParMergeSort(parMerge)	921600000	6	23031
ParMergeSort(parMerge)	921600000	7	20596
ParMergeSort(parMerge)	921600000	8	17692
ParMergeSort(parMerge)	921600000	9	16827
ParMergeSort(parMerge)	921600000	10	15359
ParMergeSort(parMerge)	921600000	11	13641
ParMergeSort(parMerge)	921600000	12	13229
ParMergeSort(parMerge)	921600000	13	11845
ParMergeSort(parMerge)	921600000	14	10901
ParMergeSort(parMerge)	921600000	15	10270
ParMergeSort(parMerge)	921600000	16	10192
ParMergeSort(parMerge)	921600000	17	9206
ParMergeSort(parMerge)	921600000	18	9100
ParMergeSort(parMerge)	921600000	19	8499
ParMergeSort(parMerge)	921600000	20	8207
ParMergeSort(parMerge)	921600000	21	7904
ParMergeSort(parMerge)	921600000	22	7608
ParMergeSort(parMerge)	921600000	23	7423
ParMergeSort(parMerge)	921600000	24	6725
ParMergeSort(parMerge)	921600000	25	6487
ParMergeSort(parMerge)	921600000	32	5144
ParMergeSort(parMerge)	921600000	64	2978
ParMergeSort(parMerge)	921600000	128	1882
ParMergeSort(parMerge)	921600000	256	1705
ParMergeSort(parMerge)	921600000	512	2384
ParMergeSort(parMerge)	921600000	1024	2647
