Modus	N	P	Laufzeit_ms
ParMergeSort(seqMerge)	1843200000	1	264362
ParMergeSort(seqMerge)	1843200000	2	139317
ParMergeSort(seqMerge)	1843200000	3	111230
ParMergeSort(seqMerge)	1843200000	4	88228
ParMergeSort(seqMerge)	1843200000	5	75802
ParMergeSort(seqMerge)	1843200000	6	68234
ParMergeSort(seqMerge)	1843200000	7	61598
ParMergeSort(seqMerge)	1843200000	8	57490
ParMergeSort(seqMerge)	1843200000	9	53211
ParMergeSort(seqMerge)	1843200000	10	51547
ParMergeSort(seqMerge)	1843200000	11	50358
ParMergeSort(seqMerge)	1843200000	12	48214
ParMergeSort(seqMerge)	1843200000	13	46804
ParMergeSort(seqMerge)	1843200000	14	44260
ParMergeSort(seqMerge)	1843200000	15	44038
ParMergeSort(seqMerge)	1843200000	16	41902
ParMergeSort(seqMerge)	1843200000	17	42821
ParMergeSort(seqMerge)	1843200000	18	39451
ParMergeSort(seqMerge)	1843200000	19	37216
ParMergeSort(seqMerge)	1843200000	20	41401
ParMergeSort(seqMerge)	1843200000	21	39913
ParMergeSort(seqMerge)	1843200000	22	37404
ParMergeSort(seqMerge)	1843200000	23	41205
ParMergeSort(seqMerge)	1843200000	24	37133
ParMergeSort(seqMerge)	1843200000	25	37471
ParMergeSort(seqMerge)	1843200000	32	34042
ParMergeSort(seqMerge)	1843200000	64	31050
ParMergeSort(seqMerge)	1843200000	128	27538
ParMergeSort(seqMerge)	1843200000	256	27303
ParMergeSort(seqMerge)	1843200000	512	27986
ParMergeSort(seqMerge)	1843200000	1024	27131
