Modus	N	P	Laufzeit_ms
JAVA_PARALLEL_SORT	1843200000	1	274639
JAVA_PARALLEL_SORT	1843200000	2	143189
JAVA_PARALLEL_SORT	1843200000	3	94985
JAVA_PARALLEL_SORT	1843200000	4	71364
JAVA_PARALLEL_SORT	1843200000	5	54115
JAVA_PARALLEL_SORT	1843200000	6	45477
JAVA_PARALLEL_SORT	1843200000	7	38954
JAVA_PARALLEL_SORT	1843200000	8	34621
JAVA_PARALLEL_SORT	1843200000	9	31868
JAVA_PARALLEL_SORT	1843200000	10	28595
JAVA_PARALLEL_SORT	1843200000	11	25831
JAVA_PARALLEL_SORT	1843200000	12	23957
JAVA_PARALLEL_SORT	1843200000	13	21080
JAVA_PARALLEL_SORT	1843200000	14	21027
JAVA_PARALLEL_SORT	1843200000	15	19353
JAVA_PARALLEL_SORT	1843200000	16	17906
JAVA_PARALLEL_SORT	1843200000	17	16948
JAVA_PARALLEL_SORT	1843200000	18	16245
JAVA_PARALLEL_SORT	1843200000	19	14402
JAVA_PARALLEL_SORT	1843200000	20	14089
JAVA_PARALLEL_SORT	1843200000	21	13173
JAVA_PARALLEL_SORT	1843200000	22	12971
JAVA_PARALLEL_SORT	1843200000	23	13308
JAVA_PARALLEL_SORT	1843200000	24	11839
JAVA_PARALLEL_SORT	1843200000	25	11307
JAVA_PARALLEL_SORT	1843200000	32	9138
JAVA_PARALLEL_SORT	1843200000	64	5166
JAVA_PARALLEL_SORT	1843200000	128	3623
JAVA_PARALLEL_SORT	1843200000	256	3529
JAVA_PARALLEL_SORT	1843200000	512	3950
JAVA_PARALLEL_SORT	1843200000	1024	4023
