Modus	N	P	Laufzeit_ms
JAVA_PARALLEL_SORT	921600000	1	132046
JAVA_PARALLEL_SORT	921600000	2	68371
JAVA_PARALLEL_SORT	921600000	3	45816
JAVA_PARALLEL_SORT	921600000	4	33308
JAVA_PARALLEL_SORT	921600000	5	26441
JAVA_PARALLEL_SORT	921600000	6	22234
JAVA_PARALLEL_SORT	921600000	7	18383
JAVA_PARALLEL_SORT	921600000	8	16884
JAVA_PARALLEL_SORT	921600000	9	15227
JAVA_PARALLEL_SORT	921600000	10	13504
JAVA_PARALLEL_SORT	921600000	11	12279
JAVA_PARALLEL_SORT	921600000	12	10925
JAVA_PARALLEL_SORT	921600000	13	10477
JAVA_PARALLEL_SORT	921600000	14	9377
JAVA_PARALLEL_SORT	921600000	15	8955
JAVA_PARALLEL_SORT	921600000	16	8534
JAVA_PARALLEL_SORT	921600000	17	7867
JAVA_PARALLEL_SORT	921600000	18	7521
JAVA_PARALLEL_SORT	921600000	19	7151
JAVA_PARALLEL_SORT	921600000	20	6864
JAVA_PARALLEL_SORT	921600000	21	6360
JAVA_PARALLEL_SORT	921600000	22	6361
JAVA_PARALLEL_SORT	921600000	23	5928
JAVA_PARALLEL_SORT	921600000	24	5631
JAVA_PARALLEL_SORT	921600000	25	5518
JAVA_PARALLEL_SORT	921600000	32	4329
JAVA_PARALLEL_SORT	921600000	64	2511
JAVA_PARALLEL_SORT	921600000	128	1861
JAVA_PARALLEL_SORT	921600000	256	1717
JAVA_PARALLEL_SORT	921600000	512	1747
JAVA_PARALLEL_SORT	921600000	1024	1940
