Modus	N	P	Laufzeit_ms
ParMergeSort(parMerge)	1843200000	1	258835
ParMergeSort(parMerge)	1843200000	2	133426
ParMergeSort(parMerge)	1843200000	3	93983
ParMergeSort(parMerge)	1843200000	4	71533
ParMergeSort(parMerge)	1843200000	5	57721
ParMergeSort(parMerge)	1843200000	6	47316
ParMergeSort(parMerge)	1843200000	7	41752
ParMergeSort(parMerge)	1843200000	8	36570
ParMergeSort(parMerge)	1843200000	9	34433
ParMergeSort(parMerge)	1843200000	10	29966
ParMergeSort(parMerge)	1843200000	11	28206
ParMergeSort(parMerge)	1843200000	12	26173
ParMergeSort(parMerge)	1843200000	13	24218
ParMergeSort(parMerge)	1843200000	14	22301
ParMergeSort(parMerge)	1843200000	15	20649
ParMergeSort(parMerge)	1843200000	16	20207
ParMergeSort(parMerge)	1843200000	17	19335
ParMergeSort(parMerge)	1843200000	18	18563
ParMergeSort(parMerge)	1843200000	19	16716
ParMergeSort(parMerge)	1843200000	20	16607
ParMergeSort(parMerge)	1843200000	21	16051
ParMergeSort(parMerge)	1843200000	22	15381
ParMergeSort(parMerge)	1843200000	23	14353
ParMergeSort(parMerge)	1843200000	24	14138
ParMergeSort(parMerge)	1843200000	25	13477
ParMergeSort(parMerge)	1843200000	32	10102
ParMergeSort(parMerge)	1843200000	64	5881
ParMergeSort(parMerge)	1843200000	128	3659
ParMergeSort(parMerge)	1843200000	256	3570
ParMergeSort(parMerge)	1843200000	512	3905
ParMergeSort(parMerge)	1843200000	1024	4921
