Modus	N	P	Laufzeit_ms
ParMergeSort(seqMerge)	921600000	1	128092
ParMergeSort(seqMerge)	921600000	2	69222
ParMergeSort(seqMerge)	921600000	3	53387
ParMergeSort(seqMerge)	921600000	4	41706
ParMergeSort(seqMerge)	921600000	5	37334
ParMergeSort(seqMerge)	921600000	6	34352
ParMergeSort(seqMerge)	921600000	7	30809
ParMergeSort(seqMerge)	921600000	8	30180
ParMergeSort(seqMerge)	921600000	9	27488
ParMergeSort(seqMerge)	921600000	10	26077
ParMergeSort(seqMerge)	921600000	11	24223
ParMergeSort(seqMerge)	921600000	12	24861
ParMergeSort(seqMerge)	921600000	13	23034
ParMergeSort(seqMerge)	921600000	14	22756
ParMergeSort(seqMerge)	921600000	15	22475
ParMergeSort(seqMerge)	921600000	16	22060
ParMergeSort(seqMerge)	921600000	17	20441
ParMergeSort(seqMerge)	921600000	18	20970
ParMergeSort(seqMerge)	921600000	19	18965
ParMergeSort(seqMerge)	921600000	20	19071
ParMergeSort(seqMerge)	921600000	21	19480
ParMergeSort(seqMerge)	921600000	22	19092
ParMergeSort(seqMerge)	921600000	23	19364
ParMergeSort(seqMerge)	921600000	24	18034
ParMergeSort(seqMerge)	921600000	25	18680
ParMergeSort(seqMerge)	921600000	32	16941
ParMergeSort(seqMerge)	921600000	64	15536
ParMergeSort(seqMerge)	921600000	128	14575
ParMergeSort(seqMerge)	921600000	256	14338
ParMergeSort(seqMerge)	921600000	512	14365
ParMergeSort(seqMerge)	921600000	1024	13556
