[19:05:42] Messen mit P=1 ...[INFO] Mi 02.07.2025 19:05:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:05:52 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:06:02 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:06:12 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:06:22 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:06:32 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:06:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:06:52 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:07:02 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:07:12 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:07:22 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:07:32 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:07:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:07:52 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:08:02 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:08:12 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:08:22 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:08:32 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:08:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:08:52 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:09:02 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:09:12 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:09:22 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:09:32 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:09:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:09:52 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:10:02 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:10:12 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:10:22 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:10:32 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:10:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:10:52 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:11:02 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:11:12 CEST → Läuft noch: N=1843200000, P=1
