[18:28:22] Messen mit P=1 ...[INFO] Di 01.07.2025 18:28:22 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:28:32 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:28:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:28:52 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:29:02 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:29:12 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:29:22 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:29:32 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:29:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:29:52 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:30:02 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:30:12 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:30:22 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:30:32 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:30:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:30:52 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:31:02 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:31:12 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:31:22 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:31:32 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:31:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:31:52 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:32:02 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:32:12 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:32:22 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:32:32 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:32:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:32:52 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:33:02 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:33:12 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:33:22 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:33:32 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:33:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:33:52 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:34:02 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:34:12 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:34:22 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:34:32 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:34:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:34:53 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:35:03 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:35:13 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:35:23 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:35:33 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:35:43 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:35:53 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:36:03 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:36:13 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:36:23 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:36:33 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:36:43 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:36:53 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:37:03 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:37:13 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:37:23 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:37:33 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:37:43 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:37:53 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:38:03 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:38:13 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:38:23 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:38:33 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:38:43 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:38:53 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:39:03 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:39:13 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:39:23 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:39:33 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:39:43 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:39:53 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:40:03 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:40:13 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:40:23 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:40:33 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:40:43 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:40:53 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:41:03 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:41:13 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:41:23 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:41:33 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:41:43 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:41:53 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:42:03 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:42:13 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:42:23 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:42:33 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:42:43 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:42:53 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:43:03 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:43:13 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:43:23 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:43:33 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:43:43 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:43:53 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:44:03 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:44:13 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:44:23 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:44:33 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:44:43 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:44:53 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:45:03 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:45:13 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:45:23 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:45:33 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:45:43 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:45:53 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:46:03 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:46:13 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:46:23 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:46:33 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:46:43 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:46:53 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:47:03 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:47:13 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:47:23 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:47:33 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:47:43 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:47:53 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:48:03 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:48:13 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:48:23 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:48:33 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:48:43 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:48:53 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:49:03 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:49:13 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:49:23 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:49:33 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:49:43 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:49:53 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:50:03 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:50:13 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:50:23 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:50:33 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:50:43 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:50:53 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:51:03 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:51:13 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:51:23 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:51:33 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:51:43 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:51:53 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:52:03 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:52:13 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:52:23 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:52:33 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:52:43 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:52:53 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:53:03 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:53:13 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:53:23 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:53:33 CEST → Läuft noch: N=1843200000, P=1
[INFO] Di 01.07.2025 18:53:43 CEST → Läuft noch: N=1843200000, P=1
