[02:27:19] Messen mit P=1 ...[INFO] Mi 02.07.2025 02:27:19 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:27:29 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:27:39 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:27:49 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:27:59 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:28:09 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:28:19 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:28:29 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:28:39 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:28:49 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:28:59 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:29:09 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:29:19 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:29:29 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:29:39 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:29:49 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:29:59 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:30:09 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:30:19 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:30:29 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:30:39 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:30:49 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:30:59 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:31:09 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:31:19 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:31:29 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:31:39 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:31:49 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:31:59 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:32:09 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:32:19 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:32:29 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:32:39 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:32:49 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:32:59 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:33:09 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:33:19 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:33:29 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:33:39 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:33:49 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:33:59 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:34:09 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:34:19 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:34:29 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:34:39 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:34:49 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:34:59 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:35:09 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:35:19 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:35:29 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:35:39 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:35:49 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:35:59 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:36:09 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:36:19 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:36:29 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:36:39 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:36:49 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:36:59 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:37:09 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:37:19 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:37:29 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:37:39 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:37:49 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:37:59 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:38:09 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:38:19 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:38:29 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:38:39 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:38:49 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:38:59 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:39:09 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:39:19 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:39:29 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:39:39 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:39:49 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 02:39:59 CEST → Läuft noch: N=921600000, P=1
[02:40:09] P=1 done
[02:40:09] Messen mit P=2 ...[INFO] Mi 02.07.2025 02:40:09 CEST → Läuft noch: N=921600000, P=2
[INFO] Mi 02.07.2025 02:40:19 CEST → Läuft noch: N=921600000, P=2
[INFO] Mi 02.07.2025 02:40:29 CEST → Läuft noch: N=921600000, P=2
[INFO] Mi 02.07.2025 02:40:39 CEST → Läuft noch: N=921600000, P=2
[INFO] Mi 02.07.2025 02:40:49 CEST → Läuft noch: N=921600000, P=2
[INFO] Mi 02.07.2025 02:40:59 CEST → Läuft noch: N=921600000, P=2
[INFO] Mi 02.07.2025 02:41:09 CEST → Läuft noch: N=921600000, P=2
[INFO] Mi 02.07.2025 02:41:19 CEST → Läuft noch: N=921600000, P=2
[INFO] Mi 02.07.2025 02:41:29 CEST → Läuft noch: N=921600000, P=2
[INFO] Mi 02.07.2025 02:41:39 CEST → Läuft noch: N=921600000, P=2
[INFO] Mi 02.07.2025 02:41:49 CEST → Läuft noch: N=921600000, P=2
[INFO] Mi 02.07.2025 02:41:59 CEST → Läuft noch: N=921600000, P=2
[INFO] Mi 02.07.2025 02:42:09 CEST → Läuft noch: N=921600000, P=2
[INFO] Mi 02.07.2025 02:42:19 CEST → Läuft noch: N=921600000, P=2
[INFO] Mi 02.07.2025 02:42:29 CEST → Läuft noch: N=921600000, P=2
[INFO] Mi 02.07.2025 02:42:39 CEST → Läuft noch: N=921600000, P=2
[INFO] Mi 02.07.2025 02:42:49 CEST → Läuft noch: N=921600000, P=2
[INFO] Mi 02.07.2025 02:42:59 CEST → Läuft noch: N=921600000, P=2
[INFO] Mi 02.07.2025 02:43:09 CEST → Läuft noch: N=921600000, P=2
[INFO] Mi 02.07.2025 02:43:19 CEST → Läuft noch: N=921600000, P=2
[INFO] Mi 02.07.2025 02:43:29 CEST → Läuft noch: N=921600000, P=2
[INFO] Mi 02.07.2025 02:43:39 CEST → Läuft noch: N=921600000, P=2
[INFO] Mi 02.07.2025 02:43:49 CEST → Läuft noch: N=921600000, P=2
[INFO] Mi 02.07.2025 02:43:59 CEST → Läuft noch: N=921600000, P=2
[INFO] Mi 02.07.2025 02:44:09 CEST → Läuft noch: N=921600000, P=2
[INFO] Mi 02.07.2025 02:44:19 CEST → Läuft noch: N=921600000, P=2
[INFO] Mi 02.07.2025 02:44:29 CEST → Läuft noch: N=921600000, P=2
[INFO] Mi 02.07.2025 02:44:39 CEST → Läuft noch: N=921600000, P=2
